Degrees,Product,Final_Price,Original_Price,Free_Shipping,Merchant,Username,Date,Origin,URL,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6,Category_7,Category_8,Category_9
212,Amazon México: Funko Pop! Stitch con ukelele,250.0,,True,Amazon,MarioAMV,2021-10-25,,https://www.promodescuentos.com/ofertas/amazon-mexico-funko-pop-stitch-con-ukelele-662636,"Familia, bebés y niños",Juguetes,Figuras de acción y playsets,Funko,,,,,
211,Coppel - Limpiador Kiwi de pieles de ante y gamuza,19.0,,False,Coppel,alex.cuesta,2021-10-25,,https://www.promodescuentos.com/ofertas/coppel-limpiador-de-ante-y-gamuza-kiwi-662634,Hogar,Limpieza del hogar,,,,,,,
367,Mercado pago: CFE $30 Off (Usuarios seleccionados),30.0,,False,MercadoPago,maares,2021-10-25,,https://www.promodescuentos.com/ofertas/mercado-pago-30-de-descuento-al-pagar-la-luz-662632,Servicios y suscripciones,,,,,,,,
202,Amazon: Enfriador para Laptop,239.0,399.0,True,Amazon,Jesus_Gonzalez16,2021-10-25,,https://www.promodescuentos.com/ofertas/enfriador-para-laptop-662635,Tecnología,Computadoras y tablets,Accesorios para laptop,,,,,,
165,"Amazon: Reebok RD-TFL-G2-CBIN-1N Reloj Análogo con Caja de Fibra de Carbono para Hombre, color Blanco/Azul",846.0,,True,Amazon,emartinez83,2021-10-25,,https://www.promodescuentos.com/ofertas/amazon-reebok-rd-tfl-g2-cbin-1n-reloj-analogo-con-caja-de-fibra-de-carbono-para-hombre-color-blancoazul-662631,Ropa y accesorios,Accesorios de moda,Relojes,,,,,,
381,"Amazon: SKULLCANDY Audifonos Inalámbrico SESH True Wireless IN-Ear IN Ear, Azul Índigo, Talla Única",640.0,1599.0,True,Amazon,EliRamos,2021-10-25,United States,https://www.promodescuentos.com/ofertas/skullcandy-audifonos-inalambrico-sesh-true-wireless-in-ear-in-ear-azul-indigo-talla-unica-662630,Tecnología,Audio y equipos de sonido,Audífonos,Audífonos In-Ear,Audífonos Skullcandy,,,,
69,"Amazon: Reloj Karl Lagerfeld Vanessa para Mujer 34mm, pulsera de Acero Inoxidable",1972.0,,True,Amazon,emartinez83,2021-10-25,,https://www.promodescuentos.com/ofertas/amazon-reloj-karl-lagerfeld-vanessa-para-mujer-34mm-pulsera-de-acero-inoxidable-662629,Ropa y accesorios,Accesorios de moda,Relojes,,,,,,
793,Prime Gaming: Pack Mensuales GRATIS Para FIFA 22 [Xbox/PlayStation/PC],,,False,PrimeGaming,rpunk77,2021-10-25,,https://www.promodescuentos.com/ofertas/prime-gaming-pack-mensuales-gratis-para-fifa-22-xboxplaystationpc-662626,Videojuegos,Juegos,Juegos de PC,Juegos de Xbox One,Amazon Prime,PlayStation,Xbox,FIFA,
150,Chedraui: 20% de descuento en quesos La Villita a granel,,,False,Chedraui,vlma,2021-10-25,,https://www.promodescuentos.com/ofertas/chedraui-20-de-descuento-en-quesos-la-villita-a-granel-662625,Abarrotes y alimentos,,,,,,,,
349,Bodega Aurrera: Shampoo Garnier fructis 650ml $10.02,10.0,39.0,False,BodegaAurrera,Joel_Torres,2021-10-25,,https://www.promodescuentos.com/ofertas/bodega-aurrera-shampoo-fructis-650ml-1002-662624,Salud y belleza,Higiene y cuidado personal,Cuidado del cabello,,,,,,
290,AMAZON : PREVENTA FUNKO ROCKY,281.0,,True,Amazon,alecha,2021-10-25,,https://www.promodescuentos.com/ofertas/amazon-preventa-funko-rocky-662623,"Familia, bebés y niños",Juguetes,Figuras de acción y playsets,Funko,,,,,
408,Pants Wilson gris en liquidación / Walmart CD Judicial Puebla,80.0,,False,Walmart,Ivann_SR,2021-10-25,,https://www.promodescuentos.com/ofertas/pans-wilson-gris-en-liquidacion-walmart-cd-judicial-puebla-662617,Ropa y accesorios,Música,,,,,,,
533,Didi Food: 2x1 en Frappuccino de Starbucks,,,False,DiDiFood,rpunk77,2021-10-25,,https://www.promodescuentos.com/ofertas/didi-food-2x1-en-frappuccino-de-starbucks-662621,Servicios y suscripciones,Restaurantes,Bebidas,Comida a domicilio,Café,,,,
299,"Amazon: Bandai Tamagotchi Electronic Game, Green Glitter",360.0,479.0,True,Amazon,TFNinty3,2021-10-25,United States,https://www.promodescuentos.com/ofertas/amazon-tamagotchi-electronic-game-green-glitter-662615,Videojuegos,Juegos,Mascotas,,,,,,
199,Costco: Jezebel Calcetines para Dama (10 pares),219.0,299.0,True,Costco,Tati.,2021-10-25,,https://www.promodescuentos.com/ofertas/jezebel-calcetines-para-dama-10-pares-662620,Ropa y accesorios,Ropa,,,,,,,
241,Nintendo: Obtén 100 puntos platino por encontrar los dados en la página de Mario Party,,,False,Nintendo,skavoovee,2021-10-25,,https://www.promodescuentos.com/ofertas/obten-100-puntos-platino-por-encontrar-los-dados-en-la-pagina-de-mario-party-662619,Videojuegos,Gratis,Super Mario,Mario Party Superstars,,,,,
